pubmed - EEG[Title/Abstract]
year,count
2018,2501
2017,3698
2016,3447
2015,3378
2014,3167
2013,2959
2012,2523
2011,2319
2010,2030
2009,1904
2008,1780
2007,1735
2006,1671
2005,1601
2004,1569
2003,1373
2002,1303
2001,1414
2000,1348
1999,1356
1998,1210
1997,1176
1996,1110
1995,1078
1994,1087
1993,1049
1992,1095
1991,1094
1990,1061
1989,1115
1988,863
1987,852
1986,872
1985,803
1984,841
1983,741
1982,663
1981,678
1980,651
1979,709
1978,657
1977,618
1976,653
1975,623
1974,233
1973,251
1972,243
1971,322
1970,340
1969,462
1968,293
1967,383
1966,208
1965,200
1964,187
1963,146
1962,117
1961,123
1960,102
1959,125
1958,271
1957,93
1956,108
1955,77
1954,81
1953,40
1952,57
1951,31
1950,23
1949,8
1948,4
1947,7
1946,3

